Entity Name,EPA Holdings,LLC Holdings,Difference
10X Genomics Inc,42425,45353,-2928
3D Systems Corp,117343,105443,11900
3M Co,64370,91884,-27514
8x8 Inc,81280,77980,3300
AAON Inc,30101,27501,2600
AAR Corp,31223,28723,2500
Aaron's Inc,53705,47305,6400
Abbott Laboratories,3865373,3862596,2777
AbbVie Inc,479477,607477,-128000
ABIOMED Inc,14537,17749,-3212
ABM Industries Inc,54904,50304,4600
Acadia Healthcare Co Inc,79024,66924,12100
Acadia Realty Trust,73474,64174,9300
Acceleron Pharma Inc,97170,7401,89769
Accenture PLC,272633,267047,5586
ACI Worldwide Inc,85326,74726,10600
Activision Blizzard Inc,109899,149579,-39680
Actuant Corp,51554,51554,0
Acuity Brands Inc,113300,31500,81800
Acxiom Corp,52372,52372,0
Addus HomeCare Corp,11200,7000,4200
Adeptus Health Inc,8448,7998,450
Adient plc,71300,71200,100
Adobe Systems Inc,896068,881187,14881
ADTRAN Inc,44764,41564,3200
Advance Auto Parts Inc,53500,79398,-25898
Advanced Energy Industries Inc,33101,32801,300
Advanced Micro Devices Inc,173321,280552,-107231
AdvanSix Inc,24584,21284,3300
AECOM Technology Corp,155833,146442,9391
Aegion Corp,31317,31217,100
AerCap Holdings NV,12700,12700,0
Aerojet Rocketdyne Holdings Inc,55753,55753,0
Aerovironment Inc,18200,16400,1800
AES Corp/VA,242286,1402308,-1160022
Affiliated Managers Group Inc,29066,30178,-1112
Aflac Inc,304442,327792,-23350
AGCO Corp,124791,230396,-105605
Agilent Technologies Inc,62115,115380,-53265
Agnico Eagle Mines Ltd,12437,12400,37
Agree Realty Corp,34982,31082,3900
Air Lease Corp,187579,217188,-29609
Air Products & Chemicals Inc,1187071,1154437,32634
Akamai Technologies Inc,249505,207377,42128
Akero Therapeutics Inc,23823,5000,18823
Alarm.com Holdings Inc,52238,32788,19450
Alaska Air Group Inc,464863,442380,22483
Albany International Corp,34334,43070,-8736
Albemarle Corp,218730,213673,5057
Alcoa Corp,17029,0,17029
Alcon Inc,23984,23984,0
Alector Inc,10087,9087,1000
Alexander & Baldwin Inc,57423,50423,7000
Alexandria Real Estate Equities Inc,76004,80612,-4608
Alexion Pharmaceuticals Inc,125667,31817,93850
Algonquin Power & Utilities Corp,15800,0,15800
Alibaba Group Holding Ltd,45000,0,45000
Align Technology Inc,13263,18563,-5300
Alleghany Corp,11602,10702,900
Allegheny Technologies Inc,102606,81606,21000
Allegiant Travel Co,12201,9901,2300
Allegion PLC,29500,24000,5500
Allergan plc,41380,70562,-29182
ALLETE Inc,43386,43386,0
Alliance Data Systems Corp,98563,135289,-36726
Alliant Energy Corp,162157,158157,4000
Allison Transmission Holdings Inc,797620,899960,-102340
Allscripts Healthcare Solutions Inc,169930,169930,0
Allstate Corp/The,354315,218957,135358
Ally Financial Inc,1465049,1472530,-7481
Alnylam Pharmaceuticals Inc,4691,36461,-31770
Altera Corp,4595,4595,0
Alteryx Inc,10512,9670,842
Altice USA Inc,232158,224404,7754
AMAG Pharmaceuticals Inc,55883,55883,0
Amarin Corp PLC,238589,248857,-10268
Amazon.com Inc,462992,459883,3109
Ambac Financial Group Inc,51500,46200,5300
Ambarella Inc,2905,0,2905
Amcor PLC,305750,291350,14400
Amdocs Ltd,385164,319193,65971
Amedisys Inc,24153,21453,2700
AMERCO,2750,3880,-1130
Ameren Corp,169592,263817,-94225
American Airlines Group Inc,95403,101303,-5900
American Assets Trust Inc,48652,43352,5300
American Axle & Manufacturing Holdings Inc,110187,110187,0
American Campus Communities Inc,126867,101567,25300
American Eagle Outfitters Inc,142482,124082,18400
American Electric Power Co Inc,675559,730792,-55233
American Equity Investment Life Holding Co,75023,64923,10100
American Express Co,207736,278623,-70887
American Financial Group Inc/OH,58021,50321,7700
American International Group Inc,157187,168181,-10994
American National Insurance Co,6850,4650,2200
American Realty Capital Properties Inc,373182,247332,125850
American States Water Co,33153,33153,0
American Tower Corp,1124948,1112130,12818
American Vanguard Corp,21617,19517,2100
American Water Works Co Inc,74397,69447,4950
American Woodmark Corp,15701,13001,2700
Ameriprise Financial Inc,198160,149802,48358
Ameris Bancorp,50519,44919,5600
AMERISAFE Inc,17401,17401,0
AmerisourceBergen Corp,379902,333293,46609
AMETEK Inc,98816,105646,-6830
Amgen Inc,297990,340314,-42324
Amicus Therapeutics Inc,13177,12177,1000
AMN Healthcare Services Inc,38687,32787,5900
Amphenol Corp,124415,64405,60010
Analog Devices Inc,322056,290914,31142
Anaplan Inc,49184,25673,23511
Andersons Inc/The,10900,3800,7100
ANGI Homeservices Inc,41640,41640,0
ANI Pharmaceuticals Inc,13183,9683,3500
Anika Therapeutics Inc,16000,10000,6000
Annaly Capital Management Inc,111236,111236,0
ANSYS Inc,20808,39018,-18210
Antero Midstream Partners LP,55385,109800,-54415
AO Smith Corp,1751661,1985511,-233850
Aon PLC,763231,768186,-4955
Apache Corp,121150,116600,4550
Apartment Investment & Management Co,98032,97832,200
Apellis Pharmaceuticals Inc,10228,9228,1000
Apergy Corp,73000,59000,14000
Apogee Enterprises Inc,25185,23085,2100
Apollo Commercial Real Estate Finance Inc,182500,170300,12200
Apollo Global Management LLC,93317,106099,-12782
Appfolio Inc,2480,2480,0
Apple Hospitality REIT Inc,1309591,763450,546141
Apple Inc,5361819,5389654,-27835
Applied Industrial Technologies Inc,29270,26070,3200
Applied Materials Inc,4326316,4580175,-253859
Applied Optoelectronics Inc,37985,37985,0
AptarGroup Inc,79870,72935,6935
Aptiv PLC,80683,34512,46171
Aqua America Inc,271502,231652,39850
Archer-Daniels-Midland Co,272563,291048,-18485
Archrock Inc,128900,110000,18900
Arconic Inc,92308,104008,-11700
Arcosa Inc,39600,35300,4300
Ardagh Group SA,37050,39300,-2250
Ares Capital Corp,19121,0,19121
Argenx SE,17131,17131,0
Arista Networks Inc,26282,62415,-36133
Arkansas Best Corp,29803,25903,3900
ARMOUR Residential REIT Inc,71200,58600,12600
Armstrong World Industries Inc,850,900,-50
Arrow Electronics Inc,65756,53556,12200
Arrowhead Pharmaceuticals Inc,108296,82419,25877
Arsanis Inc,12258,12258,0
Arthur J Gallagher & Co,52113,49263,2850
Asbury Automotive Group Inc,18334,17834,500
Ascendis Pharma A/S,49314,40364,8950
Ashland Inc,43700,38800,4900
ASML Holding NV,57629,45379,12250
Aspen Technology Inc,4477,1583,2894
Associated Banc-Corp,248168,124968,123200
Assurant Inc,71094,64994,6100
Assured Guaranty Ltd,623200,645718,-22518
Astec Industries Inc,22550,18650,3900
AstraZeneca PLC,56847,59117,-2270
AT&T Inc,3493418,3719937,-226519
Athene Holding Ltd,740501,712682,27819
Atlantic Tele-Network Inc,10598,9298,1300
Atlas Air Worldwide Holdings Inc,38920,32620,6300
Atlassian Corp PLC,25779,44285,-18506
Atmos Energy Corp,77791,59180,18611
Autodesk Inc,49512,51165,-1653
Automatic Data Processing Inc,81049,134549,-53500
AutoNation Inc,50727,50727,0
AutoZone Inc,50617,45877,4740
Avago Technologies Ltd,222130,269121,-46991
AvalonBay Communities Inc,135670,142920,-7250
Avangrid Inc,85111,56823,28288
Avanos Medical Inc,41454,33054,8400
Avantor Inc,19149,13470,5679
Avery Dennison Corp,22000,22800,-800
Avis Budget Group Inc,54034,53034,1000
Avista Corp,31600,18900,12700
Avnet Inc,804503,642553,161950
AXA Equitable Holdings Inc,1347158,1359994,-12836
Axcelis Technologies Inc,43000,43000,0
AZZ Inc,26600,22500,4100
B&G Foods Inc,70301,50701,19600
Badger Meter Inc,23652,20752,2900
Baker Hughes a GE Co,428631,370575,58056
Balchem Corp,22934,21434,1500
Ball Corp,65784,63484,2300
Banc of California Inc,71221,65021,6200
BancorpSouth Inc,74875,65875,9000
Bank of America Corp,8740857,9400479,-659622
Bank of Hawaii Corp,37766,37766,0
Bank of Montreal,32217,31893,324
Bank of New York Mellon Corp/The,250076,284298,-34222
Bank of Nova Scotia/The,55399,55399,0
Bank of the Ozarks Inc,113293,102893,10400
BankUnited Inc,24900,3400,21500
Banner Corp,35586,31586,4000
Barnes Group Inc,33672,30872,2800
Barrick Gold Corp,75818,75600,218
Baxter International Inc,70235,132922,-62687
BB&T Corp,273478,308086,-34608
BCE Inc,22748,22748,0
Becton Dickinson and Co,115466,113236,2230
Bed Bath & Beyond Inc,138620,138620,0
BeiGene Ltd,1850,1850,0
Belden Inc,34419,30019,4400
BELLUS Health Inc,40313,40313,0
Benchmark Electronics Inc,43123,38623,4500
Berkshire Hathaway Inc,1847181,1840025,7156
Best Buy Co Inc,401162,531375,-130213
Beyond Meat Inc,4615,0,4615
BGC Partners Inc,542374,542374,0
Big Lots Inc,40701,40701,0
Biogen Idec Inc,276302,279034,-2732
Biohaven Pharmaceutical Holding Co Ltd,25426,27429,-2003
BioMarin Pharmaceutical Inc,10550,0,10550
Bio-Rad Laboratories Inc,17068,13068,4000
BioTechne Corp,27986,25486,2500
BioTelemetry Inc,31237,28937,2300
BJ's Wholesale Club Holdings Inc,50300,0,50300
Black Hills Corp,43548,41048,2500
Blackbaud Inc,37630,34830,2800
BlackBerry Ltd,14600,14600,0
Blackline Inc,289297,288203,1094
BlackRock Inc,14806,11852,2954
Blackstone Group LP,91279,96960,-5681
Bloomin' Brands Inc,88700,88700,0
Blucora Inc,45338,37938,7400
Blueprint Medicines Corp,22826,21511,1315
Boeing Co/The,709487,756347,-46860
BofI Holding Inc,48671,44071,4600
Boise Cascade Co,38035,35235,2800
Bonanza Creek Energy Inc,30400,25600,4800
Booking Holdings Inc,15701,15213,488
Boot Barn Holdings Inc,25800,25100,700
Booz Allen Hamilton Holding Corp,44315,44315,0
BorgWarner Inc,838910,738910,100000
Boston Private Financial Holdings Inc,89275,74875,14400
Boston Properties Inc,32102,33302,-1200
Boston Scientific Corp,508582,434276,74306
Bottomline Technologies de Inc,36318,36318,0
Box Inc,8436,8436,0
BP PLC,72070,0,72070
Brady Corp,41053,36353,4700
Brandywine Realty Trust,483743,54258,429485
Bridgebio Pharma Inc,110425,100268,10157
Bright Horizons Family Solutions Inc,19120,0,19120
Brighthouse Financial Inc,647852,264000,383852
Brinker International Inc,42231,39031,3200
Brink's Co/The,39837,35237,4600
Bristol-Myers Squibb Co,1190955,1266965,-76010
Brixmor Property Group Inc,1623900,1815350,-191450
Broadridge Financial Solutions Inc,45093,42743,2350
Brookfield Asset Management Inc,150296,154088,-3792
Brookfield Property Partners LP,2656,2656,0
Brooks Automation Inc,56872,56372,500
Brown & Brown Inc,256173,198010,58163
Brunswick Corp/DE,66254,59354,6900
Buckle Inc/The,30417,30417,0
Bunge Ltd,29750,12900,16850
Cabaletta Bio Inc,25000,0,25000
Cable One Inc,7731,7021,710
Cabot Corp,46656,39356,7300
Cabot Microelectronics Corp,25869,20769,5100
Cabot Oil & Gas Corp,863009,1333048,-470039
CACI International Inc,32952,26438,6514
Cadence Design Systems Inc,224883,239710,-14827
CAE Inc,7204,7204,0
CalAmp Corp,43890,38690,5200
Calavo Growers Inc,16802,13802,3000
Caleres Inc,46296,46296,0
California Water Service Group,40036,38036,2000
Callaway Golf Co,93456,93456,0
Cal-Maine Foods Inc,31318,24618,6700
Camden Property Trust,91403,74703,16700
Cameco Corp,17500,17500,0
Campbell Soup Co,115631,88992,26639
Canadian Imperial Bank of Commerce/Canada,23545,23545,0
Canadian National Railway Co,35400,35400,0
Canadian Natural Resources Ltd,51200,51200,0
Canadian Pacific Railway Ltd,6900,6900,0
Cantel Medical Corp,31814,23787,8027
Capital One Financial Corp,402859,489664,-86805
Capstead Mortgage Corp,140043,137143,2900
Carbylan Therapeutics Inc,8506,6312,2194
Cardinal Health Inc,611492,761685,-150193
Cardiovascular Systems Inc,28800,20300,8500
Cardtronics Inc,32253,32253,0
Care.com Inc,32300,30800,1500
CareDx Inc,1000,5915,-4915
Career Education Corp,47100,31000,16100
CareTrust REIT Inc,97434,76434,21000
Carlisle Cos Inc,129087,76443,52644
CarMax Inc,71024,33124,37900
Carnival Corp,228161,295019,-66858
Carpenter Technology Corp,36052,31852,4200
Carter's Inc,32565,31165,1400
Castle Biosciences Inc,20351,19351,1000
Catalent Inc,122587,103398,19189
Caterpillar Inc,309056,284148,24908
Cathay General Bancorp,59858,54958,4900
Cato Corp/The,28428,26228,2200
Cavco Industries Inc,6500,5800,700
CBOE Holdings Inc,50158,44400,5758
CBRE Group Inc,604347,592297,12050
CBS Corp,90948,110240,-19292
CDK Global Inc,93890,85690,8200
CDW Corp/DE,108701,70761,37940
Celanese Corp,82910,107900,-24990
Cenovus Energy Inc,38072,37892,180
Centene Corp,534136,386730,147406
CenterPoint Energy Inc,151239,149939,1300
Central Garden & Pet Co,42136,37736,4400
Central Pacific Financial Corp,26700,23800,2900
Century Aluminum Co,78924,63924,15000
Century Communities Inc,21600,11900,9700
CenturyLink Inc,282867,286817,-3950
Cerence Inc,56428,0,56428
Ceridian HCM Holding Inc,86781,6560,80221
Cerner Corp,217427,328782,-111355
CEVA Inc,25351,25351,0
CF Industries Holdings Inc,294271,288127,6144
CGI Group Inc,14700,14700,0
CH Robinson Worldwide Inc,45198,32462,12736
Change Healthcare Inc,52438,0,52438
ChannelAdvisor Corp,13148,13148,0
Charles River Laboratories International Inc,42554,37693,4861
Charles Schwab Corp/The,366272,386187,-19915
Chart Industries Inc,30570,23870,6700
Charter Communications Inc,263512,114998,148514
Check Point Software Technologies Ltd,6150,10474,-4324
Cheesecake Factory Inc/The,52017,44017,8000
Chefs' Warehouse Inc/The,24900,21600,3300
Chemed Corp,23556,22266,1290
Chemical Financial Corp,97463,78663,18800
ChemoCentryx Inc,3697,0,3697
Chemours Co/The,134276,118476,15800
Cheniere Energy Inc,16330,16330,0
Chesapeake Energy Corp,1694900,0,1694900
Chevron Corp,3163732,3386485,-222753
Children's Place Inc/The,60441,48613,11828
Chimera Investment Corp,140740,235650,-94910
Chipotle Mexican Grill Inc,4178,3978,200
Choice Hotels International Inc,19021,7840,11181
Chubb Corp/The,108913,158371,-49458
Church & Dwight Co Inc,167013,155557,11456
Chuy's Holdings Inc,14800,8900,5900
Ciena Corp,124702,135424,-10722
Cimarex Energy Co,151094,234607,-83513
Cincinnati Financial Corp,72528,72178,350
Cinemark Holdings Inc,630762,678382,-47620
Cintas Corp,30421,27171,3250
CIRCOR International Inc,14100,11400,2700
Cirrus Logic Inc,45321,45321,0
Cisco Systems Inc,2729733,2310197,419536
CIT Group Inc,249889,35592,214297
Citigroup Inc,3061305,3039767,21538
Citizens Financial Group Inc,992603,705531,287072
Citrix Systems Inc,322616,279216,43400
Clean Harbors Inc,41235,35335,5900
Clearwater Paper Corp,25000,25000,0
Cliffs Natural Resources Inc,106200,0,106200
Clorox Co/The,389314,404384,-15070
Cloudera Inc,10301,10301,0
CloudFlare Inc,25577,5000,20577
CME Group Inc/IL,1341758,1339582,2176
CMS Energy Corp,190784,183484,7300
CNA Financial Corp,16619,16619,0
CNH Industrial NV,67800,67800,0
CNO Financial Group Inc,143267,114367,28900
Coach Inc,662612,396198,266414
Cogent Communications Holdings Inc,34097,28497,5600
Cognex Corp,313638,309441,4197
Cognizant Technology Solutions Corp,1832895,1795908,36987
Coherent Inc,18534,37734,-19200
